CURRENT_VALUE;BS UIS;BF UAF;BE UIE;UE PIE;AK WRW;00055 0;00066 0;00266 0;FHAPH F;BE UNI;BF UNI;BS UNI;0006O T
BS UIS;704;3;12;0;0;0;4;0;0;0;0;0;0
BF UAF;3;466;2;0;0;2;12;0;0;0;0;0;0
BE UIE;12;2;1270;25;0;0;24;0;0;0;1;0;0
UE PIE;0;0;25;50;0;0;11;0;0;0;0;0;0
AK WRW;0;0;0;0;40;0;0;0;0;0;0;0;0
00055 0;0;2;0;0;0;1038;7;0;0;0;0;0;0
00066 0;4;12;24;11;0;7;416;1;0;0;0;0;0
00266 0;0;0;0;0;0;0;1;8;0;0;0;0;0
FHAPH F;0;0;0;0;0;0;0;0;5;0;0;0;0
BE UNI;0;0;0;0;0;0;0;0;0;9;0;0;0
BF UNI;0;0;1;0;0;0;0;0;0;0;8;0;0
BS UNI;0;0;0;0;0;0;0;0;0;0;0;11;0
0006O T;0;0;0;0;0;0;0;0;0;0;0;0;1
